Date,Close,High,Low,Open,Volume
2024-04-22,1374.609130859375,1439.6244275892102,1351.3893820272908,1439.6244275892102,80607700.0
2024-04-23,1374.609130859375,1393.184929925042,1360.6772815601246,1379.2530806257917,25946600.0
2024-04-24,1365.3211669921875,1388.54091473015,1365.3211669921875,1388.54091473015,20587600.0
2024-04-25,1323.525634765625,1365.321181126645,1314.2377355742874,1365.321181126645,46163300.0
2024-04-26,1309.5938720703125,1360.6773209808566,1300.3059722683954,1337.4575714760638,39989400.0
2024-04-29,1263.154296875,1318.8816923253678,1226.0026999080883,1314.2377427045037,98823500.0
2024-04-30,1253.8663330078125,1286.3739786783854,1239.9344848632813,1258.5102823893228,67627800.0
2024-05-01,1253.8663330078125,1286.3739786783854,1239.9344848632813,1258.5102823893228,67627800.0
2024-05-02,1221.3587646484375,1230.6466639993762,1179.5632175692135,1198.139016271091,126190700.0
2024-05-03,1216.71484375,1239.9345926765268,1198.1390446087787,1230.646693105916,33996400.0
2024-05-06,1221.3587646484375,1239.9345633503149,1202.7829659465601,1221.3587646484375,40141400.0
2024-05-07,1207.4267578125,1235.2904522235576,1207.4267578125,1221.3586050180288,30714600.0
2024-05-08,1221.3587646484375,1235.2906136748456,1207.4269156220296,1212.0708652974988,42773300.0
2024-05-09,1221.3587646484375,1235.2906136748456,1207.4269156220296,1212.0708652974988,42773300.0
2024-05-10,1221.3587646484375,1235.2906136748456,1207.4269156220296,1212.0708652974988,42773300.0
2024-05-13,1249.222412109375,1258.510311084166,1207.426866722816,1221.3587151850024,46897600.0
2024-05-14,1249.222412109375,1263.1542605715613,1239.9345131345842,1258.510311084166,40151100.0
2024-05-15,1253.8663330078125,1258.5102823893228,1226.00263671875,1244.5784342447917,30595100.0
2024-05-16,1272.4422607421875,1286.3741103123575,1253.8664613152944,1253.8664613152944,35360900.0
2024-05-17,1272.4422607421875,1291.0180601690809,1253.8664613152944,1277.0862105989108,33951100.0
2024-05-20,1374.609130859375,1388.5409801586254,1291.0180350638725,1291.0180350638725,118600300.0
2024-05-21,1304.9498291015625,1379.2530222176658,1300.305879531806,1374.6090726479092,59175700.0
2024-05-22,1258.51025390625,1291.0178988410978,1253.8663046298432,1263.1542031826568,51034300.0
2024-05-23,1258.51025390625,1291.0178988410978,1253.8663046298432,1263.1542031826568,51034300.0
2024-05-24,1258.51025390625,1291.0178988410978,1253.8663046298432,1263.1542031826568,51034300.0
2024-05-27,1309.5938720703125,1351.3894211789395,1249.2225233578513,1258.5104231597684,89897900.0
2024-05-28,1309.5938720703125,1342.1015213770224,1300.3059722683954,1323.5257217731883,54733800.0
2024-05-29,1346.7452392578125,1360.6770865604797,1300.3057482489226,1323.5254937533675,87210600.0
2024-05-30,1309.5938720703125,1360.6773209808566,1309.5938720703125,1346.7454712779809,44696900.0
2024-05-31,1295.661865234375,1328.1695105986782,1286.3739665588598,1300.3058145721325,57917600.0
2024-06-03,1272.4422607421875,1295.6620100258042,1267.7983108854642,1295.6620100258042,41077800.0
2024-06-04,1230.646484375,1244.5783313679244,1212.0706883844339,1244.5783313679244,120062200.0
2024-06-05,1230.646484375,1244.5783313679244,1207.4267393867924,1230.646484375,78999400.0
2024-06-06,1239.9344482421875,1253.8662959752457,1235.2904989978347,1244.57839748654,21075800.0
2024-06-07,1235.2906494140625,1258.510398463199,1235.2906494140625,1249.2224988435444,21212700.0
2024-06-10,1244.14404296875,1253.6413257395038,1239.395401583373,1253.6413257395038,18011600.0
2024-06-11,1244.14404296875,1286.8818154371422,1244.14404296875,1267.8872498956346,32651200.0
2024-06-12,1220.4007568359375,1263.1385265305812,1187.160269295659,1244.1439622218506,43237700.0
2024-06-13,1201.40625,1239.3953804347825,1201.40625,1229.898097826087,16636800.0
2024-06-14,1196.657470703125,1206.154752216642,1163.416985405816,1201.4061114598835,43930500.0
2024-06-17,1196.657470703125,1206.154752216642,1163.416985405816,1201.4061114598835,43930500.0
2024-06-18,1196.657470703125,1206.154752216642,1163.416985405816,1201.4061114598835,43930500.0
2024-06-19,1163.4171142578125,1239.3953747807716,1163.4171142578125,1225.1494509327167,28814300.0
2024-06-20,1177.6629638671875,1191.908886817194,1144.4224769838395,1168.1656819005168,27358000.0
2024-06-21,1215.652099609375,1225.1493816375732,1191.9088945388794,1196.6575355529785,33232700.0
2024-06-24,1234.6466064453125,1244.1438880333535,1201.4061208871694,1215.6520432692307,24056100.0
2024-06-25,1263.1385498046875,1277.3844732987254,1234.6467028166119,1248.8926263106498,22199000.0
2024-06-26,1253.6412353515625,1267.8871584805574,1244.1439532655659,1253.6412353515625,23901100.0
2024-06-27,1248.892578125,1258.389860087928,1239.3952961620723,1253.641219106464,15637300.0
2024-06-28,1267.8870849609375,1282.1330072638693,1253.6411626580057,1258.3898034256497,22318100.0
2024-07-01,1272.6358642578125,1296.379070680533,1258.3899404041804,1272.6358642578125,29878300.0
2024-07-02,1296.3790283203125,1315.3735928378262,1291.630387190934,1296.3790283203125,32226300.0
2024-07-03,1267.8870849609375,1296.3789295668012,1253.6411626580057,1296.3789295668012,45580500.0
2024-07-04,1320.122314453125,1324.870955872021,1272.6359002641636,1277.3845416830598,49172100.0
2024-07-05,1320.122314453125,1334.3682387098133,1305.8763901964364,1324.870955872021,19648200.0
2024-07-08,1296.3790283203125,1324.8708750965832,1286.8817460615558,1324.8708750965832,21587300.0
2024-07-09,1277.3843994140625,1291.6303220841078,1267.8871176340324,1291.6303220841078,27387800.0
2024-07-10,1272.6358642578125,1286.8817881114448,1253.6412991196362,1277.3845055423567,36090400.0
2024-07-11,1263.1385498046875,1291.6303967927631,1258.3899086400083,1282.1331144634046,31917400.0
2024-07-12,1248.892578125,1277.3844240137832,1244.1439371435363,1272.6357830323195,42269800.0
2024-07-15,1220.4007568359375,1272.6358086849464,1215.652115758755,1244.1439622218506,73814100.0
2024-07-16,1229.8980712890625,1239.395353692839,1215.6521476833977,1220.400788885286,24865800.0
