Date,Close,High,Low,Open,Volume
2024-04-22,21501.107421875,21711.284425021382,21459.072021245724,21606.19592344819,1050800.0
2024-04-23,21459.072265625,21501.10766673298,21206.859858977103,21501.10766673298,1003500.0
2024-04-24,21311.947265625,21501.106560882028,21290.929566151997,21459.071161936023,994300.0
2024-04-25,20996.681640625,21290.92943138451,20954.64624194507,21290.92943138451,1366500.0
2024-04-26,20597.345703125,21185.841294642858,20597.345703125,20996.68199736926,1283800.0
2024-04-29,20975.6640625,20996.681761961423,20176.991482965932,20597.34547219439,1155600.0
2024-04-30,21206.859375,21269.912475222995,21038.71777440535,21206.859375,1274700.0
2024-05-01,21206.859375,21269.912475222995,21038.71777440535,21206.859375,1274700.0
2024-05-02,20933.62890625,21438.053699171687,20891.593506839858,21227.876702120982,814700.0
2024-05-03,20870.576171875,21143.80627281596,20807.523071657855,21017.70007238167,607100.0
2024-05-06,20597.345703125,21122.78819555166,20555.31030373087,21122.78819555166,892000.0
2024-05-07,20849.55859375,20912.611694335938,20597.34619140625,20597.34619140625,390400.0
2024-05-08,21311.947265625,21311.947265625,20849.557877218936,20891.593276164942,1023900.0
2024-05-09,21311.947265625,21311.947265625,20849.557877218936,20891.593276164942,1023900.0
2024-05-10,21311.947265625,21311.947265625,20849.557877218936,20891.593276164942,1023900.0
2024-05-13,20723.453125,20912.612433443202,20198.01060154665,20681.41772312373,2061100.0
2024-05-14,20597.345703125,20849.558099489797,20597.345703125,20681.416501913267,621700.0
2024-05-15,20261.0625,20681.416493775934,20261.0625,20639.38109439834,1212000.0
2024-05-16,20345.1328125,20429.20360924587,20261.062015754134,20303.097414127067,705700.0
2024-05-17,20240.044921875,20387.168820580217,20219.02722205997,20345.133420950155,1081800.0
2024-05-20,20471.240234375,20576.32873660485,20240.045529469327,20240.045529469327,792300.0
2024-05-21,20387.16796875,20807.521947487112,20261.061775128866,20534.29186130799,864500.0
2024-05-22,20450.220703125,20597.34459307554,20345.13221030319,20597.34459307554,559900.0
2024-05-23,20450.220703125,20597.34459307554,20345.13221030319,20597.34459307554,559900.0
2024-05-24,20450.220703125,20597.34459307554,20345.13221030319,20597.34459307554,559900.0
2024-05-27,20387.16796875,20513.274162371134,20387.16796875,20450.221065560567,651700.0
2024-05-28,20429.203125,20513.273919753086,20387.167727623455,20387.167727623455,592900.0
2024-05-29,20492.2578125,20597.346314102564,20429.20471153846,20450.222411858973,745800.0
2024-05-30,20975.6640625,21017.699461422846,20282.079980273047,20492.256974887274,1044000.0
2024-05-31,20996.681640625,21185.840934684686,20786.50464722535,20996.681640625,1656200.0
2024-06-03,21206.859375,21206.859375,20849.558473736375,21017.700074331024,1208500.0
2024-06-04,21353.982421875,21522.12401574803,21164.82312876784,21206.858527236098,1173200.0
2024-06-05,20891.59375,21227.87694919517,20849.558350100604,21206.859249245474,1071300.0
2024-06-06,20681.416015625,20891.593007653708,20660.398316422128,20891.593007653708,720300.0
2024-06-07,20807.5234375,20807.5234375,20660.399534406566,20681.417234848486,414700.0
2024-06-10,20534.29296875,20807.52306966479,20387.169068257423,20807.52306966479,880300.0
2024-06-11,20261.0625,20576.32799533195,20261.0625,20576.32799533195,1090100.0
2024-06-12,20429.203125,20450.220823688273,20240.043836805555,20261.061535493827,822100.0
2024-06-13,20345.1328125,20471.239007618802,20345.1328125,20429.20360924587,405700.0
2024-06-14,20219.02734375,20408.186643223755,20176.991943866946,20387.168943282224,693400.0
2024-06-17,20219.02734375,20408.186643223755,20176.991943866946,20387.168943282224,693400.0
2024-06-18,20219.02734375,20408.186643223755,20176.991943866946,20387.168943282224,693400.0
2024-06-19,20071.904296875,20282.08130521924,19819.69188686191,20219.028202715966,829300.0
2024-06-20,20092.921875,20176.99267782427,20050.886473587867,20092.921875,390100.0
2024-06-21,20387.16796875,20513.274162371134,20092.92018363402,20092.92018363402,749400.0
2024-06-24,20092.921875,20387.16968488494,20071.904174293933,20387.16968488494,923700.0
2024-06-25,19840.7109375,20176.994173728814,19840.7109375,20134.958769200213,1221400.0
2024-06-26,20008.849609375,20050.885007714023,19840.708016018907,19882.74341435793,595100.0
2024-06-27,19966.814453125,20029.867551398023,19861.725956003287,20008.849851973682,397500.0
2024-06-28,20092.921875,20155.974977118203,19945.797970057534,19966.8156707636,819300.0
2024-07-01,20408.185546875,20513.27404093718,20155.973161125774,20155.973161125774,603300.0
2024-07-02,21017.69921875,21122.78771484375,20408.18594140625,20408.18594140625,1712400.0
2024-07-03,21690.265625,21753.31872274709,21017.699249031008,21017.699249031008,2145800.0
2024-07-04,21984.513671875,22089.602169350503,21690.265878943595,21690.265878943595,1974000.0
2024-07-05,21984.513671875,22362.832262786807,21711.283578438695,22005.531371370103,1414100.0
2024-07-08,21858.408203125,22110.62060546875,21711.284301757812,21963.496704101562,918200.0
2024-07-09,21459.072265625,21942.479378366796,21459.072265625,21837.39087559684,2057800.0
2024-07-10,21564.16015625,21774.337155823585,21459.071656463206,21459.071656463206,572800.0
2024-07-11,21438.0546875,21753.320197610294,21438.0546875,21690.267095588235,740300.0
2024-07-12,21480.08984375,21648.23144722358,21290.93053984222,21480.08984375,664200.0
2024-07-15,21438.0546875,21585.178592218137,21332.966184129902,21480.09008884804,544100.0
2024-07-16,21816.373046875,22005.53235074964,21543.1429412783,21543.1429412783,1359300.0
2024-07-17,21690.265625,21921.46031673934,21648.23022650194,21858.407218992248,822400.0
2024-07-18,22005.53125,22026.54894937918,21501.106464899713,21690.265759312322,1600200.0
2024-07-19,22299.779296875,22404.86779497526,22047.56690143438,22068.58460105443,2390000.0
2024-07-22,22993.36328125,22993.36328125,22320.796896423675,22362.83229547532,3903100.0
2024-07-23,22404.869140625,23476.77188562676,22404.869140625,22993.364765331848,3158000.0
2024-07-24,22152.65625,22551.992558111953,22152.65625,22404.86865512334,1127700.0
